Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand
ENSMUSG00000041264	5	149995926	150027010	1
ENSMUSG00000027386	2	128688717	128722770	1
ENSMUSG00000075543	5	148126562	148134016	-1
ENSMUSG00000018446	11	70791338	70796528	-1
ENSMUSG00000028557	4	109123703	109157333	-1
ENSMUSG00000028461	4	43505772	43508793	1
ENSMUSG00000029586	5	143942696	143966754	1
ENSMUSG00000062647	2	26766284	26768838	1
ENSMUSG00000028517	4	104829952	104905369	1
ENSMUSG00000078498	4	146698883	146705740	1
ENSMUSG00000073876	4	42029565	42039326	-1
ENSMUSG00000073888	4	41716340	41721120	-1
ENSMUSG00000028447	4	41661830	41670202	-1
ENSMUSG00000078578	3	135101261	135130142	1
ENSMUSG00000066097	4	95961199	96015353	-1
ENSMUSG00000004948	5	136455969	136464494	1
ENSMUSG00000090596	14	5690160	5690637	-1
ENSMUSG00000083825	11	50805300	50806197	1
ENSMUSG00000082530	11	46264482	46264849	-1
ENSMUSG00000049532	14	52930847	52948437	-1
ENSMUSG00000083662	11	43484303	43484986	1
ENSMUSG00000061524	14	122874604	122879074	1
ENSMUSG00000026535	1	175892700	175912975	-1
ENSMUSG00000040842	4	140668916	140695711	-1
ENSMUSG00000084183	11	14949161	14950260	1
ENSMUSG00000083859	11	12836837	12837941	-1
ENSMUSG00000032377	9	92352216	92388348	1
ENSMUSG00000027314	2	119151520	119161698	1
ENSMUSG00000030483	7	26682639	26711643	1
ENSMUSG00000038172	4	82866204	82970159	-1
ENSMUSG00000029446	5	130271434	130293129	-1
ENSMUSG00000040007	2	118726113	118750264	1
ENSMUSG00000026736	2	18919970	18921428	1
ENSMUSG00000036435	5	76958336	76999319	1
ENSMUSG00000078592	3	121933113	121934114	-1
ENSMUSG00000027210	2	115688800	115891575	-1
ENSMUSG00000070946	4	73329420	73333462	1
ENSMUSG00000030815	7	134716854	134726819	1
ENSMUSG00000091650	15	77338701	77347749	1
ENSMUSG00000054381	7	134516078	134519564	-1
ENSMUSG00000026728	2	13495554	13504453	1
ENSMUSG00000050711	1	79431244	79436665	-1
ENSMUSG00000061835	11	58571106	58572116	1
ENSMUSG00000032717	17	47952277	47971640	-1
ENSMUSG00000043644	11	120209992	120212504	1
ENSMUSG00000089810	9	45664852	45666440	-1
ENSMUSG00000062472	17	47179533	47179988	-1
ENSMUSG00000030683	7	134085658	134114120	1
ENSMUSG00000045259	1	173288577	173290929	-1
ENSMUSG00000037393	11	55838489	55854512	-1
ENSMUSG00000037254	2	10016218	10053023	-1
ENSMUSG00000025783	2	9802879	9805548	1
ENSMUSG00000029530	9	123587557	123691089	1
ENSMUSG00000029462	5	122804378	122814993	1
ENSMUSG00000038582	5	122734374	122774290	1
ENSMUSG00000022111	14	102053184	102095341	1
ENSMUSG00000018339	11	54715955	54723879	1
ENSMUSG00000034285	11	4773954	4794203	1
ENSMUSG00000079330	1	134088013	134153958	1
ENSMUSG00000052423	1	173200459	173207027	1
ENSMUSG00000009076	11	4604681	4637672	1
ENSMUSG00000033857	11	118338143	118350523	1
ENSMUSG00000032348	9	78039773	78057155	1
ENSMUSG00000074309	7	23198602	23199525	1
ENSMUSG00000091554	7	22985360	22986283	-1
ENSMUSG00000044701	7	133732524	133738455	-1
ENSMUSG00000090310	7	21309927	21312303	-1
ENSMUSG00000027966	3	113733458	113923636	1
ENSMUSG00000079471	17	45737916	45739051	-1
ENSMUSG00000078091	2	103905983	103907643	1
ENSMUSG00000027954	3	89075655	89085064	-1
ENSMUSG00000026648	2	3341403	3381402	1
ENSMUSG00000083369	17	34617708	34618064	-1
ENSMUSG00000075496	14	80260328	80268983	-1
ENSMUSG00000049470	11	53164335	53235332	1
ENSMUSG00000029186	5	53132826	53160583	1
ENSMUSG00000086154	17	29151587	29152842	-1
ENSMUSG00000049339	1	75139360	75144483	1
ENSMUSG00000066153	4	61808966	61811897	-1
ENSMUSG00000056590	15	62049096	62050958	-1
ENSMUSG00000003534	17	35818512	35841566	-1
ENSMUSG00000049969	4	10915809	10935074	-1
ENSMUSG00000041361	9	71352154	71440167	-1
ENSMUSG00000052414	15	102364008	102455881	-1
ENSMUSG00000050410	17	35649679	35653769	-1
ENSMUSG00000024406	17	35642984	35647722	1
ENSMUSG00000023051	15	102348623	102354107	1
ENSMUSG00000071586	15	102334153	102334317	1
ENSMUSG00000036940	4	136106455	136158638	-1
ENSMUSG00000061242	17	83687886	83688368	1
ENSMUSG00000046793	3	107951239	107957800	-1
ENSMUSG00000059811	17	80247732	80295463	-1
ENSMUSG00000021830	14	45754123	45840003	-1
ENSMUSG00000064010	11	46421274	46442763	-1
ENSMUSG00000070332	11	115301859	115309584	1
ENSMUSG00000023027	15	100058250	100091675	1
ENSMUSG00000061728	17	34669822	34684585	-1
ENSMUSG00000051900	7	127553161	127688327	1
ENSMUSG00000032443	9	117856918	117923278	-1
ENSMUSG00000027895	3	107241221	107261816	-1
ENSMUSG00000047921	15	72420051	72891634	-1
ENSMUSG00000092065	15	99536940	99537278	-1
ENSMUSG00000039607	9	116481870	117261683	-1
ENSMUSG00000056145	3	106842422	106854070	1
ENSMUSG00000073421	17	34400185	34406355	1
ENSMUSG00000056880	9	115817682	115985294	1
ENSMUSG00000057322	11	114529838	114533645	1
ENSMUSG00000032370	9	66803200	66823291	-1
ENSMUSG00000041423	3	88168506	88172463	1
ENSMUSG00000036943	9	66691479	66767512	-1
ENSMUSG00000030924	7	126937520	126992457	1
ENSMUSG00000090053	4	57447119	57724888	1
ENSMUSG00000033533	7	126750540	126806029	1
ENSMUSG00000030378	7	14996036	15032118	-1
ENSMUSG00000086814	7	139345854	139346984	1
ENSMUSG00000045102	5	34349847	34512097	-1
ENSMUSG00000006304	1	74283071	74314783	1
ENSMUSG00000086502	7	134592150	134603874	1
ENSMUSG00000055593	7	120046474	120050321	1
ENSMUSG00000072511	15	65754005	65808366	-1
ENSMUSG00000000817	1	163710820	163718626	-1
ENSMUSG00000053641	9	64659147	64767474	1
ENSMUSG00000056687	11	109216092	109224968	-1
ENSMUSG00000017688	3	3508030	3659775	1
ENSMUSG00000005506	2	90780539	90859654	1
ENSMUSG00000022996	15	98602184	98608581	-1
ENSMUSG00000083974	7	104554650	104554837	1
ENSMUSG00000003355	15	98554804	98558629	-1
ENSMUSG00000041534	14	34767208	34777402	1
ENSMUSG00000020271	11	32542724	32646816	1
ENSMUSG00000085161	7	81537584	81556119	1
ENSMUSG00000020272	11	32433266	32524593	1
ENSMUSG00000069917	11	32196489	32197301	1
ENSMUSG00000026187	1	72353995	72441526	1
ENSMUSG00000020723	11	107593671	107655871	-1
ENSMUSG00000037801	9	63269262	63450300	-1
ENSMUSG00000058638	7	13420110	13435926	1
ENSMUSG00000080892	7	50207094	50207577	1
ENSMUSG00000060206	4	54957920	55096435	1
ENSMUSG00000044502	11	31565181	31571919	-1
ENSMUSG00000079892	7	34399641	34400826	1
ENSMUSG00000066805	7	12845108	12846028	-1
ENSMUSG00000074547	7	13917995	13918606	-1
ENSMUSG00000075081	2	89449313	89454179	-1
ENSMUSG00000030663	7	123236815	123248724	1
ENSMUSG00000091544	7	10503601	10538934	-1
ENSMUSG00000090342	7	10339985	10355920	-1
ENSMUSG00000090482	7	10074547	10083728	1
ENSMUSG00000049372	2	88301074	88302768	1
ENSMUSG00000022358	15	58011634	58046433	-1
ENSMUSG00000040919	11	30326006	30371827	-1
ENSMUSG00000053134	5	31816942	31830180	-1
ENSMUSG00000075150	2	87551129	87552061	-1
ENSMUSG00000051207	7	152500740	152509964	1
ENSMUSG00000024033	17	31391964	31414301	-1
ENSMUSG00000059205	2	87446369	87448491	1
ENSMUSG00000090780	15	97645855	97647131	1
ENSMUSG00000090849	7	7370381	7394010	-1
ENSMUSG00000049648	4	52868386	52871338	-1
ENSMUSG00000022066	14	69955208	69985327	1
ENSMUSG00000076437	2	84509375	84510927	-1
ENSMUSG00000037613	7	150851714	150871777	-1
ENSMUSG00000078306	9	56995987	56999744	1
ENSMUSG00000039740	4	47477939	47487205	-1
ENSMUSG00000032911	9	56712911	56747677	1
ENSMUSG00000049556	9	56466282	56533060	-1
ENSMUSG00000020321	11	21456790	21472370	-1
ENSMUSG00000044645	17	50837852	50839205	1
ENSMUSG00000029279	5	107760178	107816077	1
ENSMUSG00000051076	3	100629382	100699602	1
ENSMUSG00000070639	5	105844794	105915208	1
ENSMUSG00000042323	14	31832324	31934778	1
ENSMUSG00000045671	11	19824378	19924029	1
ENSMUSG00000029130	5	29522532	29552064	1
ENSMUSG00000051198	15	46457002	46457319	1
ENSMUSG00000036273	15	91503606	91646551	1
ENSMUSG00000027520	1	63319839	63361150	1
ENSMUSG00000070873	7	4189356	4195065	1
ENSMUSG00000027868	3	99044304	99158182	1
ENSMUSG00000020173	11	12136679	12364963	-1
ENSMUSG00000028862	4	132796733	132808844	1
ENSMUSG00000034708	11	102291629	102298123	1
ENSMUSG00000060549	7	115398706	115399650	-1
ENSMUSG00000054236	7	115224310	115225248	1
ENSMUSG00000032068	9	50302630	50313744	1
ENSMUSG00000081871	4	73158649	73159511	-1
ENSMUSG00000029328	5	100462596	100468683	-1
ENSMUSG00000086696	4	71641511	71660593	1
ENSMUSG00000082998	4	69353001	69353685	1
ENSMUSG00000073902	7	113744757	113747549	-1
ENSMUSG00000091928	7	113219246	113221378	-1
ENSMUSG00000078678	4	60751684	60754398	1
ENSMUSG00000028999	5	23293529	23326187	1
ENSMUSG00000072826	5	93911097	93965360	-1
ENSMUSG00000034135	9	45820903	46032277	1
ENSMUSG00000038880	17	25032061	25034447	1
ENSMUSG00000034947	11	101443556	101453102	1
ENSMUSG00000040026	7	53967368	53971046	-1
ENSMUSG00000028893	4	132047947	132066416	-1
ENSMUSG00000038374	3	96433851	96437702	1
ENSMUSG00000021972	14	65430439	65568684	-1
ENSMUSG00000025511	7	148661139	148679326	1
ENSMUSG00000028479	4	44046947	44097049	-1
ENSMUSG00000021895	14	28051225	28217090	1
ENSMUSG00000090200	10	82601895	82604783	-1
ENSMUSG00000060510	9	20303509	20325852	-1
ENSMUSG00000063801	7	87020218	87065526	-1
ENSMUSG00000085712	10	79834700	79835961	1
ENSMUSG00000079212	NT_166358	216334	218663	1
ENSMUSG00000086798	10	75541362	75543247	1
ENSMUSG00000036459	7	34894562	34918287	-1
ENSMUSG00000082234	10	75408040	75408432	-1
ENSMUSG00000091825	10	72664443	72665514	1
ENSMUSG00000046980	10	72562202	72562673	1
ENSMUSG00000043916	10	63481331	63481695	1
ENSMUSG00000066905	9	19650067	19654191	-1
ENSMUSG00000058659	9	19584727	19588508	1
ENSMUSG00000030545	7	86880843	86888017	-1
ENSMUSG00000051160	9	19341455	19342372	-1
ENSMUSG00000052625	9	19301188	19302332	1
ENSMUSG00000052182	9	19245359	19246297	1
ENSMUSG00000085347	10	61803004	61826115	1
ENSMUSG00000091941	10	59269305	59270162	1
ENSMUSG00000071286	10	58684701	58689179	1
ENSMUSG00000066910	9	18792434	18793372	1
ENSMUSG00000089800	10	52104465	52104899	-1
ENSMUSG00000050884	9	18749094	18750032	1
ENSMUSG00000091358	10	43931209	43938994	1
ENSMUSG00000045886	10	43243974	43244351	1
ENSMUSG00000032134	9	18299899	18317329	-1
ENSMUSG00000074188	7	33489492	33489959	-1
ENSMUSG00000081873	10	42050592	42051069	-1
ENSMUSG00000074502	9	18208862	18215946	1
ENSMUSG00000079743	NT_166378	35499	37820	-1
ENSMUSG00000041540	6	143776945	144730497	-1
ENSMUSG00000001248	7	31915146	31936069	-1
ENSMUSG00000050901	9	15667058	15679000	-1
ENSMUSG00000087177	10	39341218	39451813	-1
ENSMUSG00000039176	7	86593677	86611248	-1
ENSMUSG00000039684	10	30967991	30970684	1
ENSMUSG00000028964	4	150271242	150288546	-1
ENSMUSG00000064208	10	27656170	27656634	1
ENSMUSG00000085216	10	26507668	26513129	1
ENSMUSG00000030279	6	142959440	143048627	-1
ENSMUSG00000085063	4	154990518	154990896	1
ENSMUSG00000087400	10	24269247	24316914	-1
ENSMUSG00000086148	10	24167296	24172463	1
ENSMUSG00000038848	2	180639082	180655654	-1
ENSMUSG00000082960	10	23765398	23766012	1
ENSMUSG00000082429	4	154876425	154876815	-1
ENSMUSG00000084182	10	23733276	23734330	1
ENSMUSG00000090535	10	21760507	21768318	-1
ENSMUSG00000023393	2	180459968	180476985	1
ENSMUSG00000059814	10	14465084	14467190	-1
ENSMUSG00000031934	9	14809605	14849922	-1
ENSMUSG00000036570	7	31836700	31840675	-1
ENSMUSG00000036578	7	31827536	31836481	-1
ENSMUSG00000081926	10	3307767	3307880	-1
ENSMUSG00000091511	10	129908877	129934435	-1
ENSMUSG00000086565	4	153924391	153931754	1
ENSMUSG00000048015	10	129705209	129717296	-1
ENSMUSG00000059134	10	129310879	129311811	-1
ENSMUSG00000049894	10	129204554	129205492	1
ENSMUSG00000071065	10	129174817	129175971	-1
ENSMUSG00000031931	9	14584653	14587408	-1
ENSMUSG00000049307	9	14552903	14556566	-1
ENSMUSG00000027568	2	180234681	180279685	1
ENSMUSG00000087454	4	152592285	152592704	1
ENSMUSG00000083078	4	152051857	152052112	-1
ENSMUSG00000038963	2	180190950	180209572	1
ENSMUSG00000004096	9	14305061	14315021	1
ENSMUSG00000056061	2	180067562	180075437	1
ENSMUSG00000087572	4	151679496	151681177	1
ENSMUSG00000053914	9	14266992	14304926	-1
ENSMUSG00000032009	9	14080745	14130582	1
ENSMUSG00000030611	7	85928005	85937875	1
ENSMUSG00000030247	6	142513459	142519876	-1
ENSMUSG00000044537	10	128748565	128748954	1
ENSMUSG00000072402	10	128687592	128688530	1
ENSMUSG00000037808	9	13632160	13650985	1
ENSMUSG00000056853	10	128483188	128484117	-1
ENSMUSG00000069430	10	128426905	128427956	1
ENSMUSG00000086767	4	149278115	149282258	1
ENSMUSG00000062064	4	149523081	149542591	1
ENSMUSG00000084767	4	148871485	148872147	-1
ENSMUSG00000015647	2	179911078	179960564	-1
ENSMUSG00000086606	4	148321601	148323023	-1
ENSMUSG00000090247	10	128354938	128361091	-1
ENSMUSG00000031918	9	13552854	13610925	1
ENSMUSG00000025350	10	128350649	128359944	-1
ENSMUSG00000086326	4	147730488	147733569	-1
ENSMUSG00000039050	2	179854011	179897385	1
ENSMUSG00000086806	4	147375200	147378123	-1
ENSMUSG00000030577	7	31650421	31665361	-1
ENSMUSG00000082150	4	146655555	146655899	-1
ENSMUSG00000081627	4	146641482	146642217	1
ENSMUSG00000082176	4	146568985	146569320	-1
ENSMUSG00000082779	4	146499365	146499925	1
ENSMUSG00000081405	4	146476436	146478090	1
ENSMUSG00000039911	4	149270392	149329152	-1
ENSMUSG00000025352	10	128319351	128328774	-1
ENSMUSG00000041681	6	142246943	142252481	1
ENSMUSG00000039108	2	179759692	179770170	1
ENSMUSG00000025354	10	128242690	128256502	1
ENSMUSG00000060962	7	31548775	31566085	1
ENSMUSG00000050912	9	7764041	7794333	1
ENSMUSG00000039117	2	179646851	179711351	-1
ENSMUSG00000074518	2	179628614	179629398	1
ENSMUSG00000063975	6	142182748	142271501	-1
ENSMUSG00000070323	9	7571396	7581885	1
ENSMUSG00000025355	10	128228009	128237880	1
ENSMUSG00000005800	9	7558429	7568486	1
ENSMUSG00000044700	4	149089484	149112153	-1
ENSMUSG00000043613	9	7445822	7455972	1
ENSMUSG00000053025	7	82259783	82454148	-1
ENSMUSG00000083733	4	146040658	146040999	-1
ENSMUSG00000090683	4	145914740	145915894	-1
ENSMUSG00000066620	7	31494755	31495282	1
ENSMUSG00000049761	7	31455741	31456610	-1
ENSMUSG00000083235	4	145434307	145434621	-1
ENSMUSG00000082999	4	145427122	145427901	1
ENSMUSG00000082334	4	145335649	145337304	1
ENSMUSG00000078762	7	31426020	31450013	-1
ENSMUSG00000036733	7	31426013	31435336	-1
ENSMUSG00000082615	4	145279745	145280381	1
ENSMUSG00000050578	9	7272514	7283333	1
ENSMUSG00000081983	4	145236674	145237018	-1
ENSMUSG00000006313	7	31388111	31397753	-1
ENSMUSG00000025789	7	81084005	81158568	-1
ENSMUSG00000081885	4	145231260	145234302	1
ENSMUSG00000082352	4	145164431	145165064	1
ENSMUSG00000041741	6	141197790	141447872	1
ENSMUSG00000083081	4	145045536	145046282	1
ENSMUSG00000085101	4	145000148	145039659	1
ENSMUSG00000083998	4	144381740	144382563	1
ENSMUSG00000025362	10	128061586	128063562	-1
ENSMUSG00000078867	2	177171829	177183025	-1
ENSMUSG00000070035	7	79817704	79819164	1
ENSMUSG00000082418	4	144135409	144138471	-1
ENSMUSG00000078869	2	177049359	177051741	-1
ENSMUSG00000078872	2	176859025	176872052	1
ENSMUSG00000032776	7	79222718	79451481	-1
ENSMUSG00000083708	4	143837680	143838171	1
ENSMUSG00000078876	2	176615845	176621435	1
ENSMUSG00000028988	4	148892345	148940546	1
ENSMUSG00000030232	6	140570970	140626993	1
ENSMUSG00000089756	2	175918013	175930232	-1
ENSMUSG00000005533	7	75097713	75371484	1
ENSMUSG00000047619	9	6265028	6266547	-1
ENSMUSG00000082407	4	142992247	142993316	1
ENSMUSG00000083826	4	142756506	142757299	1
ENSMUSG00000081838	4	142742475	142742933	1
ENSMUSG00000028996	4	148823796	148829087	-1
ENSMUSG00000073731	4	141169941	141171519	1
ENSMUSG00000078905	2	174887050	174893282	-1
ENSMUSG00000078906	2	174835742	174844749	1
ENSMUSG00000090841	10	127927916	127930931	-1
ENSMUSG00000046717	6	138605616	138606965	-1
ENSMUSG00000086159	4	140235668	140240532	1
ENSMUSG00000074558	9	3037111	3038316	1
ENSMUSG00000091028	9	3000922	3002330	1
ENSMUSG00000092010	NT_161904	365202	367586	-1
ENSMUSG00000089947	1	188944748	188948244	-1
ENSMUSG00000073739	4	138731320	138736570	-1
ENSMUSG00000025373	10	127848672	127878494	1
ENSMUSG00000036835	7	31346887	31348203	-1
ENSMUSG00000091726	1	174479389	174488260	-1
ENSMUSG00000089803	1	174074403	174075032	-1
ENSMUSG00000089990	1	171862829	171864379	-1
ENSMUSG00000084093	1	168361836	168362006	-1
ENSMUSG00000030225	6	137703063	137786410	1
ENSMUSG00000089700	1	165659700	165660741	1
ENSMUSG00000078190	1	164147754	164155681	1
ENSMUSG00000078519	4	137771629	137772104	1
ENSMUSG00000087632	1	159314062	159314460	-1
ENSMUSG00000083054	4	136164755	136165721	-1
ENSMUSG00000086568	4	135904465	135906249	1
ENSMUSG00000082877	4	135630428	135630887	-1
ENSMUSG00000083430	4	135447179	135447392	-1
ENSMUSG00000091254	NT_166369	214984	215481	-1
ENSMUSG00000091030	NT_166369	85120	111157	-1
ENSMUSG00000091551	NT_166412	440950	441805	-1
ENSMUSG00000078968	NT_166412	67594	70176	-1
ENSMUSG00000027522	2	173901809	173925272	1
ENSMUSG00000030222	6	137003346	137119018	-1
ENSMUSG00000079138	1	155152562	155153608	1
ENSMUSG00000086145	1	154531156	154534631	-1
ENSMUSG00000057399	1	152396447	152396809	1
ENSMUSG00000081672	4	135409593	135410088	1
ENSMUSG00000054455	2	173563012	173609837	1
ENSMUSG00000057047	2	173544916	173547590	1
ENSMUSG00000082588	1	150872358	150873177	-1
ENSMUSG00000074012	NT_166436	14855	51411	1
ENSMUSG00000085822	1	148656961	148688826	-1
ENSMUSG00000030220	6	136872044	136890420	-1
ENSMUSG00000080078	1	148572711	148576220	1
ENSMUSG00000036892	7	31278641	31298421	1
ENSMUSG00000079815	NT_166403	239240	241571	1
ENSMUSG00000030217	6	136796972	136806254	-1
ENSMUSG00000085361	1	140888127	140888598	-1
ENSMUSG00000089808	1	134181024	134181386	1
ENSMUSG00000090437	NT_161923	1297290	1299617	-1
ENSMUSG00000078677	7	73510791	73531195	1
ENSMUSG00000082833	4	134863696	134863885	-1
ENSMUSG00000028961	4	148524100	148540880	-1
ENSMUSG00000086884	4	134674136	134676362	-1
ENSMUSG00000086825	1	132326358	132333768	-1
ENSMUSG00000030216	6	136762175	136776754	-1
ENSMUSG00000073586	1	125941400	125942989	1
ENSMUSG00000027513	2	172978549	172984774	1
ENSMUSG00000067015	1	107661021	107661251	1
ENSMUSG00000067017	1	107352560	107353433	1
ENSMUSG00000089866	1	106808008	106808910	-1
ENSMUSG00000073705	4	148501230	148511738	-1
ENSMUSG00000089791	1	100354345	100355739	1
ENSMUSG00000030213	6	136467372	136555898	1
ENSMUSG00000085420	1	90244064	90249505	-1
ENSMUSG00000082837	1	89994493	89994706	1
ENSMUSG00000036915	7	31232553	31242709	-1
ENSMUSG00000084021	1	89918956	89920537	1
ENSMUSG00000089821	1	89161056	89161749	-1
ENSMUSG00000005883	2	172803201	172819077	1
ENSMUSG00000036480	1	89083240	89084978	1
ENSMUSG00000084106	1	88805337	88806264	-1
ENSMUSG00000073627	1	88256149	88270366	1
ENSMUSG00000083816	4	132440678	132442541	1
ENSMUSG00000090246	1	87537797	87547160	-1
ENSMUSG00000087352	4	132088602	132089516	1
ENSMUSG00000086997	4	132059476	132065564	-1
ENSMUSG00000090189	1	87380827	87381717	-1
ENSMUSG00000006651	7	31220001	31230580	-1
ENSMUSG00000089652	1	85323304	85339190	1
ENSMUSG00000074569	2	172275813	172284096	-1
ENSMUSG00000036931	7	31206751	31213765	1
ENSMUSG00000079455	1	85263273	85286414	1
ENSMUSG00000030579	7	31198807	31202596	1
ENSMUSG00000027502	2	172266056	172295408	1
ENSMUSG00000085084	3	156209717	156224710	-1
ENSMUSG00000086438	3	153513337	153515388	-1
ENSMUSG00000058508	3	153448017	153448098	1
ENSMUSG00000083013	4	131458705	131459226	-1
ENSMUSG00000089763	1	85153384	85154297	-1
ENSMUSG00000090128	1	85111894	85113812	1
ENSMUSG00000074210	7	31106759	31108491	1
ENSMUSG00000074211	7	31106430	31107394	-1
ENSMUSG00000084343	3	151816411	151817080	1
ENSMUSG00000019737	7	31099835	31104064	1
ENSMUSG00000085810	3	146304896	146314679	1
ENSMUSG00000089950	3	144510538	144510967	1
ENSMUSG00000086561	3	142406625	142407645	-1
ENSMUSG00000089976	1	85057729	85059217	1
ENSMUSG00000089737	3	141120940	141128297	-1
ENSMUSG00000030204	6	134961630	134973794	1
ENSMUSG00000090698	6	134932019	134936854	1
ENSMUSG00000086123	3	138491643	138492126	-1
ENSMUSG00000078531	4	131043112	131061442	1
ENSMUSG00000086262	4	130556747	130566389	-1
ENSMUSG00000083610	3	135188928	135189496	-1
ENSMUSG00000085804	4	130530705	130557254	1
ENSMUSG00000073632	1	84960244	84961134	1
ENSMUSG00000047126	11	86507853	86571067	-1
ENSMUSG00000045140	11	84689817	84693787	-1
ENSMUSG00000049612	11	79314484	79317584	-1
ENSMUSG00000028647	4	123582075	123589512	1
ENSMUSG00000076438	4	122793507	122795192	1
ENSMUSG00000027423	2	144075859	144096642	-1
ENSMUSG00000081200	5	32614295	32614492	-1
ENSMUSG00000040554	11	71841465	71851011	-1
ENSMUSG00000029640	5	147546385	147606582	-1
ENSMUSG00000028614	4	107040389	107088951	1
ENSMUSG00000028618	4	106851004	106873601	1
ENSMUSG00000032786	9	106135786	106150457	-1
ENSMUSG00000043719	9	105591747	105730415	-1
ENSMUSG00000078496	4	146866526	146887595	1
ENSMUSG00000047356	2	25538246	25541601	1
ENSMUSG00000004056	7	28376571	28425845	1
ENSMUSG00000091111	14	7057494	7058697	-1
ENSMUSG00000047821	11	62633733	62690964	1
ENSMUSG00000050667	11	60482425	60484627	-1
ENSMUSG00000085551	11	59735001	59735391	1
ENSMUSG00000049608	1	87836112	87857630	-1
ENSMUSG00000083303	11	32780362	32780940	-1
ENSMUSG00000086335	11	31732660	31738214	1
ENSMUSG00000073073	11	30167464	30180491	1
ENSMUSG00000060261	5	134713704	134790616	-1
ENSMUSG00000027719	3	36962449	37020846	1
ENSMUSG00000027932	3	90189161	90193860	-1
ENSMUSG00000028028	3	127373317	127483445	-1
ENSMUSG00000038034	1	174191772	174249972	1
ENSMUSG00000053465	14	119537637	120268816	1
ENSMUSG00000049892	11	59776683	59778446	-1
ENSMUSG00000029389	5	125002873	125019669	1
ENSMUSG00000058006	4	32744094	32862182	1
ENSMUSG00000042104	14	119384261	119498652	-1
ENSMUSG00000025138	11	120479686	120486554	-1
ENSMUSG00000047635	5	124778098	124791853	1
ENSMUSG00000020447	11	6111016	6130146	-1
ENSMUSG00000084911	9	96985745	96989029	1
ENSMUSG00000089651	9	74980766	74981988	-1
ENSMUSG00000037145	11	58421706	58429577	-1
ENSMUSG00000091166	1	173349164	173350483	1
ENSMUSG00000074971	2	110201082	110203150	-1
ENSMUSG00000023979	17	47522342	47529916	1
ENSMUSG00000001260	5	71142286	71233856	-1
ENSMUSG00000086624	9	57880081	57896804	1
ENSMUSG00000053889	9	34725818	34737094	-1
ENSMUSG00000089702	9	15135017	15139789	1
ENSMUSG00000025780	2	10075198	10178156	1
ENSMUSG00000070327	11	119254414	119348732	1
ENSMUSG00000049588	11	54863233	54891633	-1
ENSMUSG00000078235	4	137950007	137952373	-1
ENSMUSG00000022554	15	76199328	76201833	1
ENSMUSG00000057933	9	78178825	78203595	-1
ENSMUSG00000062237	14	51153089	51154024	1
ENSMUSG00000050431	14	50805937	50806893	-1
ENSMUSG00000072294	14	100269869	100549015	-1
ENSMUSG00000091225	7	21918230	21919147	-1
ENSMUSG00000034354	11	4380871	4494866	-1
ENSMUSG00000029199	5	65782736	65801932	1
ENSMUSG00000036026	17	45797120	45823854	-1
ENSMUSG00000026434	1	133807035	133832898	1
ENSMUSG00000037890	5	65590935	65651654	1
ENSMUSG00000038412	9	121757678	121767118	-1
ENSMUSG00000034543	11	3549497	3590480	1
ENSMUSG00000071035	17	87477611	87478498	1
ENSMUSG00000028222	4	15808411	15835211	1
ENSMUSG00000084880	17	47824559	47828032	1
ENSMUSG00000023919	17	41060000	41071996	-1
ENSMUSG00000091043	17	41041690	41051299	-1
ENSMUSG00000045202	17	37932391	37933320	1
ENSMUSG00000032536	9	121206620	121384034	1
ENSMUSG00000056600	17	37222136	37223181	-1
ENSMUSG00000051638	3	108742971	108743363	-1
ENSMUSG00000086149	17	28124973	28145377	-1
ENSMUSG00000036492	17	37079996	37084931	1
ENSMUSG00000028217	4	11685294	11745042	1
ENSMUSG00000026675	1	171879666	171899372	-1
ENSMUSG00000038530	1	171671608	171677773	-1
ENSMUSG00000073407	17	36179906	36195590	1
ENSMUSG00000048100	3	108374616	108386140	1
ENSMUSG00000040738	4	11126305	11181405	-1
ENSMUSG00000027630	3	21975574	22115516	1
ENSMUSG00000059397	11	50840506	50841447	1
ENSMUSG00000054988	3	20213395	20266099	-1
ENSMUSG00000059791	17	35998263	36002344	1
ENSMUSG00000063556	14	77651608	77652135	-1
ENSMUSG00000024131	17	85427687	85463583	1
ENSMUSG00000066894	5	117769275	117805014	1
ENSMUSG00000061535	5	43906808	44010056	1
ENSMUSG00000024120	17	85104587	85190129	-1
ENSMUSG00000041263	3	88887903	88897285	-1
ENSMUSG00000059482	4	10801645	10826572	1
ENSMUSG00000024409	17	35670146	35671590	1
ENSMUSG00000040312	17	35654061	35667959	1
ENSMUSG00000026417	1	132723261	132748826	1
ENSMUSG00000027220	2	92755255	92796215	1
ENSMUSG00000030867	7	129302951	129313389	1
ENSMUSG00000036138	9	119250412	119259413	1
ENSMUSG00000041261	4	8068640	8166188	-1
ENSMUSG00000058318	2	91933274	92204823	1
ENSMUSG00000054374	9	119129606	119140810	-1
ENSMUSG00000064201	15	101641120	101648600	-1
ENSMUSG00000091923	14	45336513	45344662	-1
ENSMUSG00000040365	11	48619906	48630855	-1
ENSMUSG00000058135	3	107815173	107820891	-1
ENSMUSG00000010660	9	118980645	119002614	-1
ENSMUSG00000044636	15	100310001	100325670	-1
ENSMUSG00000029559	5	115392167	115399792	1
ENSMUSG00000039115	9	118515808	118810121	1
